"US0075 , US , 33.0033 , -96.705"
"US0075 , US , 33.0022 , -96.707"
"US0075 , US , 33.0024 , -96.707"
"US0075 , US , 33.0037 , -96.708"
"US0075 , US , 33.0038 , -96.708"
"US0075 , US , 33.0039 , -96.708"
"US0075 , US , 33.0023 , -96.707"
"US0075 , US , 33.0027 , -96.707"
"US0075 , US , 33.0028 , -96.707"
"US0075 , US , 33.0030 , -96.707"
"US0075 , US , 33.0031 , -96.706"
"US0075 , US , 33.0021 , -96.708"
"US0075 , US , 33.0014 , -96.708"
"US0075 , US , 32.9998 , -96.708"
"US0075 , US , 32.9988 , -96.708"
"US0075 , US , 32.9989 , -96.708"
"US0075 , US , 32.9997 , -96.708"
"US0075 , US , 33.0019 , -96.708"
"US0075 , US , 33.0036 , -96.707"
"US0075 , US , 33.0034 , -96.707"
"US0075 , US , 33.0036 , -96.712"
"US0075 , US , 33.0035 , -96.712"
"US0075 , US , 33.0035 , -96.710"
"US0075 , US , 33.0034 , -96.709"
"US0075 , US , 33.0035 , -96.704"
"US0075 , US , 33.0035 , -96.703"
"US0075 , US , 33.0035 , -96.702"
"US0075 , US , 33.0037 , -96.715"
"US0075 , US , 33.0036 , -96.714"
"US0075 , US , 33.0035 , -96.711"
"US0075 , US , 33.0032 , -96.709"
"US0075 , US , 33.0026 , -96.709"
"US0075 , US , 33.0020 , -96.708"
"US0075 , US , 33.0025 , -96.707"
"US0075 , US , 33.0002 , -96.708"
"US0075 , US , 32.9994 , -96.708"
"US0075 , US , 32.9854 , -96.711"
"US0075 , US , 32.9843 , -96.711"
"US0075 , US , 32.9895 , -96.710"
"US0075 , US , 32.9894 , -96.710"
"US0075 , US , 32.9404 , -96.745"
"US0075 , US , 32.9400 , -96.745"
"US0075 , US , 32.9398 , -96.745"
"US0075 , US , 32.9397 , -96.745"
"US0075 , US , 32.9666 , -96.721"
"US0075 , US , 32.9661 , -96.721"
"US0075 , US , 32.9658 , -96.722"
"US0075 , US , 32.9656 , -96.722"
"US0075 , US , 32.9649 , -96.722"
"US0075 , US , 32.9646 , -96.723"
"US0075 , US , 32.9643 , -96.723"
"US0075 , US , 32.9637 , -96.724"
"US0075 , US , 32.9630 , -96.724"
"US0075 , US , 32.9624 , -96.725"
"US0075 , US , 32.9617 , -96.726"
"US0075 , US , 32.9614 , -96.726"
"US0075 , US , 32.9611 , -96.726"
"US0075 , US , 32.9611 , -96.727"
"US0075 , US , 32.9938 , -96.709"
"US0075 , US , 32.9934 , -96.709"
"US0075 , US , 32.9719 , -96.718"
"US0075 , US , 32.9718 , -96.718"
"US0075 , US , 32.9682 , -96.720"
"US0075 , US , 32.9676 , -96.720"
"US0075 , US , 32.9669 , -96.721"
"US0075 , US , 32.9667 , -96.721"
"US0075 , US , 32.9855 , -96.711"
"US0075 , US , 32.9750 , -96.716"
"US0075 , US , 32.9748 , -96.716"
"US0075 , US , 32.9742 , -96.716"
"US0075 , US , 32.9736 , -96.717"
"US0075 , US , 32.9731 , -96.717"
"US0075 , US , 32.9725 , -96.717"
"US0075 , US , 32.9384 , -96.747"
"US0075 , US , 32.9976 , -96.708"
"US0075 , US , 32.9607 , -96.727"
"US0075 , US , 32.9383 , -96.747"
"US0075 , US , 32.9380 , -96.748"
"US0075 , US , 32.9378 , -96.748"
"US0075 , US , 32.9973 , -96.709"
"US0075 , US , 32.9969 , -96.709"
"US0075 , US , 32.9916 , -96.709"
"US0075 , US , 32.9906 , -96.709"
"US0075 , US , 32.9900 , -96.710"
"US0075 , US , 32.9507 , -96.734"
"US0075 , US , 32.9506 , -96.734"
"US0075 , US , 32.9501 , -96.734"
"US0075 , US , 32.9404 , -96.744"
"US0075 , US , 32.9452 , -96.739"
"US0075 , US , 32.9834 , -96.712"
"US0075 , US , 32.9830 , -96.712"
"US0075 , US , 32.9817 , -96.713"
"US0075 , US , 32.9799 , -96.713"
"US0075 , US , 32.9789 , -96.714"
"US0075 , US , 32.9780 , -96.714"
"US0075 , US , 32.9776 , -96.714"
"US0075 , US , 32.9767 , -96.715"
"US0075 , US , 32.9761 , -96.715"
"US0075 , US , 32.9758 , -96.715"
"US0075 , US , 32.9599 , -96.728"
"US0075 , US , 32.9591 , -96.729"
"US0075 , US , 32.9582 , -96.729"
"US0075 , US , 32.9545 , -96.732"
"US0075 , US , 32.9504 , -96.734"
"US0075 , US , 32.9494 , -96.735"
"US0075 , US , 32.9480 , -96.736"
"US0075 , US , 32.9476 , -96.736"
"US0075 , US , 32.9471 , -96.737"
"US0075 , US , 32.9466 , -96.737"
"US0075 , US , 32.9460 , -96.738"
"US0075 , US , 32.9442 , -96.740"
"US0075 , US , 32.9930 , -96.709"
"US0075 , US , 32.9904 , -96.710"
"US0075 , US , 32.9603 , -96.727"
"US0075 , US , 32.9597 , -96.728"
"US0075 , US , 32.9593 , -96.728"
"US0075 , US , 32.9589 , -96.729"
"US0075 , US , 32.9583 , -96.729"
"US0075 , US , 32.9574 , -96.730"
"US0075 , US , 32.9557 , -96.731"
"US0075 , US , 32.9544 , -96.732"
"US0075 , US , 32.9516 , -96.733"
"US0075 , US , 32.9886 , -96.710"
"US0075 , US , 32.9876 , -96.710"
"US0075 , US , 32.9868 , -96.710"
