,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
0,04-24-2022 19:36:51,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE
1,04-24-2022 19:36:52,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE
2,04-24-2022 19:36:53,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE
3,04-24-2022 19:36:55,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE
4,04-24-2022 19:36:56,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
5,04-24-2022 19:36:57,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
6,04-24-2022 19:36:59,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
7,04-24-2022 19:37:00,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
8,04-24-2022 19:37:01,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
9,04-24-2022 19:37:02,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
10,04-24-2022 19:37:04,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
11,04-24-2022 19:37:05,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
12,04-24-2022 19:37:06,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
13,04-24-2022 19:37:07,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
14,04-24-2022 19:37:09,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
15,04-24-2022 19:37:10,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
16,04-24-2022 19:37:11,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
17,04-24-2022 19:37:12,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
