"US0075 , US , 33.00338044200004 , -96.70587898499997"
"US0075 , US , 33.00338873000004 , -96.70582808999995"
"US0075 , US , 33.00227256000005 , -96.70792930899995"
"US0075 , US , 33.00227396300005 , -96.70792886499999"
"US0075 , US , 33.00244585300004 , -96.70790178699997"
"US0075 , US , 33.00372358800007 , -96.70866354699996"
"US0075 , US , 33.003773773000034 , -96.70856284599995"
"US0075 , US , 33.00387983300004 , -96.70839417599996"
"US0075 , US , 33.00393864400007 , -96.708295535"
"US0075 , US , 33.002388773000064 , -96.70788281499995"
"US0075 , US , 33.00278131300007 , -96.70764843499995"
"US0075 , US , 33.00289640300008 , -96.70753553499998"
"US0075 , US , 33.003016073000026 , -96.70734472499998"
"US0075 , US , 33.00309998300003 , -96.70714100499998"
"US0075 , US , 33.00319243300004 , -96.70680206499998"
"US0075 , US , 33.00337961300005 , -96.70588407499997"
"US0075 , US , 33.00338044200004 , -96.70587898499997"
"US0075 , US , 33.002119024000024 , -96.70894220999998"
"US0075 , US , 33.00143143300005 , -96.70899085599996"
"US0075 , US , 32.99980872300006 , -96.708974405"
"US0075 , US , 32.998871552000026 , -96.70881237499998"
"US0075 , US , 32.998976292000066 , -96.70869255499997"
"US0075 , US , 32.99979759300004 , -96.70852527499994"
"US0075 , US , 33.00196530300008 , -96.70802655499995"
"US0075 , US , 33.00227256000005 , -96.70792930899995"
"US0075 , US , 33.00384762600004 , -96.70808450499999"
"US0075 , US , 33.00382741300007 , -96.70805750499994"
"US0075 , US , 33.00374132300004 , -96.70794252499996"
"US0075 , US , 33.00372097300004 , -96.70791536499996"
"US0075 , US , 33.003638323000075 , -96.70777758499997"
"US0075 , US , 33.003453043000036 , -96.70736870499996"
"US0075 , US , 33.00342191300007 , -96.70726352499997"
"US0075 , US , 33.00335565300003 , -96.70689391499997"
"US0075 , US , 33.003352233000044 , -96.70627087499997"
"US0075 , US , 33.003396433000034 , -96.70608574499994"
"US0075 , US , 33.00337961300005 , -96.70588407499997"
"US0075 , US , 33.003600849000065 , -96.71231244999996"
"US0075 , US , 33.00359852300005 , -96.71209507599997"
"US0075 , US , 33.00351472300002 , -96.71060109599995"
"US0075 , US , 33.00348819300007 , -96.71028283599998"
"US0075 , US , 33.00345869300003 , -96.70972252599995"
"US0075 , US , 33.00352913300003 , -96.70920272599994"
"US0075 , US , 33.00358340300005 , -96.70902469599997"
"US0075 , US , 33.00363168300004 , -96.70885421599996"
"US0075 , US , 33.00369923300008 , -96.70871241599997"
"US0075 , US , 33.00372358800007 , -96.70866354699996"
"US0075 , US , 33.00338873000004 , -96.70582808999995"
"US0075 , US , 33.00355505300007 , -96.70480679499997"
"US0075 , US , 33.003602253000054 , -96.70433865499996"
"US0075 , US , 33.00355199400008 , -96.70311986399997"
"US0075 , US , 33.00359169400008 , -96.70292127399995"
"US0075 , US , 33.00373433300007 , -96.71559788699994"
"US0075 , US , 33.00368803300006 , -96.71542331699999"
"US0075 , US , 33.003621603000056 , -96.71425155699995"
"US0075 , US , 33.003600849000065 , -96.71231244999996"
"US0075 , US , 33.00393864400007 , -96.708295535"
"US0075 , US , 33.00396384800007 , -96.70825326099998"
"US0075 , US , 33.00359852300005 , -96.71209507599997"
"US0075 , US , 33.00355978300007 , -96.71199095599997"
"US0075 , US , 33.00347495300008 , -96.71096636599998"
"US0075 , US , 33.00335436300003 , -96.70980263599995"
"US0075 , US , 33.003215813000054 , -96.70942457599995"
"US0075 , US , 33.003005563000045 , -96.70918947599995"
"US0075 , US , 33.00288511300005 , -96.70910436599996"
"US0075 , US , 33.00265325300006 , -96.70901918599998"
"US0075 , US , 33.00241205300006 , -96.70897853599996"
"US0075 , US , 33.002119943000025 , -96.70898885599996"
"US0075 , US , 33.00204786300003 , -96.70894724599998"
"US0075 , US , 33.00239464100002 , -96.70892271099996"
"US0075 , US , 33.002119024000024 , -96.70894220999998"
"US0075 , US , 33.003971163000074 , -96.70819957599997"
"US0075 , US , 33.003899603000036 , -96.70815393599997"
"US0075 , US , 33.00384762600004 , -96.70808450499999"
"US0075 , US , 33.00396693600004 , -96.70806210899997"
"US0075 , US , 33.00394544300008 , -96.70808943599997"
"US0075 , US , 33.003931763000026 , -96.70810684599996"
"US0075 , US , 33.003899603000036 , -96.70815393599997"
"US0075 , US , 33.00382947300005 , -96.70825340599998"
"US0075 , US , 33.003802403000066 , -96.70829178599996"
"US0075 , US , 33.003732643000035 , -96.70839073599996"
"US0075 , US , 33.00372277300005 , -96.70840473599998"
"US0075 , US , 33.00367751300007 , -96.70846892599997"
"US0075 , US , 33.003486603000056 , -96.70857780599994"
"US0075 , US , 33.00314009300007 , -96.70876156599996"
"US0075 , US , 33.00283418300006 , -96.70887321599997"
"US0075 , US , 33.002446863000046 , -96.70891901599998"
"US0075 , US , 33.00239464100002 , -96.70892271099996"
"US0075 , US , 33.00244585300004 , -96.70790178699997"
"US0075 , US , 33.00256285300003 , -96.70788335499998"
"US0075 , US , 33.00286574300003 , -96.70785206499994"
"US0075 , US , 33.003125183000066 , -96.70786790499994"
"US0075 , US , 33.003398153000035 , -96.70794989499996"
"US0075 , US , 33.00359766300005 , -96.70804874499999"
"US0075 , US , 33.00364084300003 , -96.70808686499998"
"US0075 , US , 33.003721873000075 , -96.70815839599999"
"US0075 , US , 33.00382947300005 , -96.70825340599998"
"US0075 , US , 33.00386416300006 , -96.70828403599995"
"US0075 , US , 33.00389951300008 , -96.70831524599998"
"US0075 , US , 33.003932433000045 , -96.70834430599996"
"US0075 , US , 33.00394567300003 , -96.70835899599996"
"US0075 , US , 33.00396683200006 , -96.70838247099994"
"US0075 , US , 33.000229741000055 , -96.70876151799996"
"US0075 , US , 32.999465075000046 , -96.70887057899995"
"US0075 , US , 32.98548563300005 , -96.71132673099999"
"US0075 , US , 32.98542384000007 , -96.71135163499997"
"US0075 , US , 32.98432059400005 , -96.71186455399999"
"US0075 , US , 32.989539043000036 , -96.71029072799996"
"US0075 , US , 32.989452604000064 , -96.71030478299997"
"US0075 , US , 32.94044476200003 , -96.74523015499994"
"US0075 , US , 32.94006815200004 , -96.74570908399994"
"US0075 , US , 32.93985072600003 , -96.745788743"
"US0075 , US , 32.93979198000005 , -96.745867751"
"US0075 , US , 32.939753164000024 , -96.74591670299998"
"US0075 , US , 32.96664841900002 , -96.72142950899996"
"US0075 , US , 32.966190966000056 , -96.72177336699997"
"US0075 , US , 32.96587692600008 , -96.72201691699996"
"US0075 , US , 32.965684176000025 , -96.72218708699995"
"US0075 , US , 32.964956835000066 , -96.72284658699994"
"US0075 , US , 32.96464346500005 , -96.72313905699997"
"US0075 , US , 32.964341525000066 , -96.72345978699997"
"US0075 , US , 32.963779815000066 , -96.72407108699997"
"US0075 , US , 32.96302605500006 , -96.72490311699994"
"US0075 , US , 32.962471565000044 , -96.72554033699998"
"US0075 , US , 32.96175047500003 , -96.72635047799997"
"US0075 , US , 32.96144481500005 , -96.72670145799998"
"US0075 , US , 32.96117809400005 , -96.72698722799998"
"US0075 , US , 32.96114473600005 , -96.72702584899997"
"US0075 , US , 32.99387875200006 , -96.70964205199994"
"US0075 , US , 32.99346001400005 , -96.70969876599997"
"US0075 , US , 32.97192138200006 , -96.71814090699996"
"US0075 , US , 32.971833737000054 , -96.71819477599996"
"US0075 , US , 32.96825648600003 , -96.72043873599995"
"US0075 , US , 32.967636646000074 , -96.72083157699996"
"US0075 , US , 32.96697031600007 , -96.72119515699995"
"US0075 , US , 32.96672813600003 , -96.72136958699997"
"US0075 , US , 32.96664841900002 , -96.72142950899996"
"US0075 , US , 32.98554056000006 , -96.71130459499994"
"US0075 , US , 32.98548563300005 , -96.71132673099999"
"US0075 , US , 32.97506094500005 , -96.71618842799995"
"US0075 , US , 32.974837868000066 , -96.71631910599996"
"US0075 , US , 32.974236087000065 , -96.71669428599995"
"US0075 , US , 32.97368195700005 , -96.71705064599996"
"US0075 , US , 32.97315566700007 , -96.71736606599995"
"US0075 , US , 32.97258258700003 , -96.71773451599995"
"US0075 , US , 32.97192138200006 , -96.71814090699996"
"US0075 , US , 32.94006815200004 , -96.74570908399994"
"US0075 , US , 32.93845268900003 , -96.74776344199995"
"US0075 , US , 32.93843252100004 , -96.74778826099998"
"US0075 , US , 32.99943253400005 , -96.70874248999996"
"US0075 , US , 32.99768302200005 , -96.70896041099996"
"US0075 , US , 32.96114473600005 , -96.72702584899997"
"US0075 , US , 32.96077884400006 , -96.72744946799997"
"US0075 , US , 32.960726048000026 , -96.72750610999998"
"US0075 , US , 32.938457836000055 , -96.74754655999999"
"US0075 , US , 32.938306279000074 , -96.74773589199998"
"US0075 , US , 32.938068559000044 , -96.74803398199998"
"US0075 , US , 32.937868080000044 , -96.74828496199996"
"US0075 , US , 32.99767604600004 , -96.70912574"
"US0075 , US , 32.99739759200003 , -96.70916545499995"
"US0075 , US , 32.99698318600008 , -96.70922158299999"
"US0075 , US , 32.993456226000035 , -96.70956982999996"
