,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
0,1012548584585828240,CONSTRUCTION,minor,32.99717,-96.70902,33.01978,-96.70929
1,2567027375683685802,ROAD_CLOSURE,critical,32.79814,-96.78414,32.79918,-96.78293
2,1554849556338043715,CONSTRUCTION,minor,32.9259,-96.82054,33.07203,-96.8244
3,2195403597360712821,CONSTRUCTION,critical,32.91565,-96.86765,32.91533,-96.86875
4,1542477887187715622,ROAD_CLOSURE,critical,32.85295,-96.58688,32.85119,-96.58666
5,4660592747427168198,CONSTRUCTION,minor,32.67614,-97.0177,32.68243,-97.02385
6,2574544353192144332,CONSTRUCTION,minor,32.98684,-96.80345,32.92504,-96.80366
7,4080093423336272098,ROAD_CLOSURE,critical,32.91618,-96.86905,32.91489,-96.86737
8,4266155418563341801,CONSTRUCTION,critical,32.798207,-96.809646,32.79712,-96.80834
9,2564377770595530241,CONSTRUCTION,minor,32.97917,-97.02178,32.98293,-97.0179
10,3358581571144909851,CONSTRUCTION,critical,32.78518,-96.79347,32.78685,-96.79145
11,16136201267344354,CONSTRUCTION,minor,32.81728,-96.68967,32.78493,-96.68416
12,1322515901067876154,CONSTRUCTION,critical,32.76002,-96.81419,32.7588,-96.81417
13,3707477587733975266,CONSTRUCTION,critical,33.00725,-96.68074,33.00711,-96.68074
14,4335082173471583357,ROAD_CLOSURE,critical,32.75436,-96.76513,32.756,-96.76645
15,4317799486208836278,CONGESTION,minor,32.9327,-96.75514,32.93044,-96.75804
16,818534644967879813,CONSTRUCTION,minor,32.83863,-96.69627,32.83994,-96.69466
17,4225353734681970560,ROAD_CLOSURE,critical,32.79601,-96.78646,32.796796,-96.78739
18,203475434273304902,ACCIDENT,minor,32.88764,-96.76951,32.88764,-96.76951
19,1534169306974393681,ROAD_CLOSURE,critical,32.75876,-96.8084,32.75792,-96.8084
20,2991776678973321692,CONSTRUCTION,critical,32.78617,-96.79138,32.78623,-96.79197
21,808305005976887060,CONSTRUCTION,minor,32.76444,-96.80672,32.68226,-96.82311
22,3448159788510398997,ROAD_CLOSURE,critical,32.86693,-96.66617,32.8665,-96.66564
23,2600009185951904851,CONSTRUCTION,critical,32.78641,-96.79201,32.78389,-96.79173
24,1811709051427890100,ROAD_CLOSURE,critical,32.85119,-96.58666,32.85295,-96.58688
25,2596904902974127150,CONSTRUCTION,critical,33.0087,-96.66651,33.0088,-96.66662
26,3394863039452544853,ROAD_CLOSURE,critical,32.74563,-96.75829,32.75119,-96.76272
27,1146231134415601896,CONSTRUCTION,minor,32.656213,-96.979966,32.643783,-97.014212
28,3327450985057264301,ROAD_CLOSURE,critical,32.78473,-96.79274,32.78518,-96.79347
29,4511792932551809951,CONSTRUCTION,minor,32.70872,-96.83057,32.65563,-96.87637
30,4457630034996539252,CONSTRUCTION,minor,32.90777,-96.81384,32.93974,-96.82194
31,3303887759253464596,ROAD_CLOSURE,critical,32.75109,-96.76221,32.75347,-96.76441
32,1231873148928690038,ROAD_CLOSURE,critical,32.75509,-96.76377,32.75413,-96.76495
33,2778690299491001997,CONSTRUCTION,minor,32.82142,-96.81678,32.82158,-96.81677
34,4054068373546166295,ROAD_CLOSURE,critical,32.70534,-96.83185,32.69461,-96.84413
35,3670919425671143937,CONSTRUCTION,minor,32.86558,-96.81154,32.82152,-96.81691
36,3069151006332001835,ROAD_CLOSURE,critical,32.77239,-96.81082,32.77262,-96.81082
37,990711008136257766,ROAD_CLOSURE,critical,32.73153,-96.82511,32.73133,-96.82513
38,4310538788759669840,CONGESTION,minor,32.86054,-96.77017,32.86072,-96.77017
39,2023587442264073350,CONSTRUCTION,critical,32.7588,-96.81417,32.76002,-96.81419
40,1270564435901824463,CONSTRUCTION,critical,32.74855,-96.80922,32.74863,-96.81055
41,597650954895046397,ROAD_CLOSURE,critical,32.915,-96.8733,32.91312,-96.88166
42,3040567582918582945,CONSTRUCTION,critical,32.83655,-96.91737,32.83658,-96.91448
43,2721148569974349890,CONSTRUCTION,minor,32.75728,-97.02929,32.68116,-97.02426
44,1026410736829260519,ROAD_CLOSURE,critical,32.91312,-96.88166,32.915,-96.8733
45,1509302708333799577,CONSTRUCTION,critical,32.78389,-96.79173,32.78343,-96.79352
46,2391941124321746626,ROAD_CLOSURE,critical,32.84419,-96.78167,32.84419,-96.782
47,4576808768950908063,CONSTRUCTION,minor,32.92591,-96.82069,32.92591,-96.82054
48,2300312298078234853,CONSTRUCTION,minor,32.847067,-96.685871,32.84932,-96.68322
49,2804893043070383239,CONSTRUCTION,minor,32.68386,-96.81442,32.68714,-96.82293
50,2406879823629239019,ROAD_CLOSURE,critical,32.761,-96.81311,32.76097,-96.81566
51,1717178001945952778,CONSTRUCTION,critical,33.0088,-96.66662,33.0087,-96.66651
52,4085252698319315512,CONSTRUCTION,critical,32.76516,-96.77708,32.76285,-96.77772
53,1184719586730061713,CONSTRUCTION,minor,32.83575,-96.6066,32.78576,-96.76783
54,1427156861101576155,CONSTRUCTION,critical,32.79669,-96.77352,32.79512,-96.77167
55,3809226953221365556,CONSTRUCTION,minor,32.98962,-97.00882,32.9911,-97.00726
56,3202744815243517748,ROAD_CLOSURE,critical,32.7449,-96.81318,32.74503,-96.81281
57,2785873984218700048,CONSTRUCTION,critical,32.91636,-96.74282,32.83835,-96.63315
58,999834502951309199,ROAD_CLOSURE,critical,32.91369,-96.87733,32.91273,-96.8771
59,2245846926197693034,ROAD_CLOSURE,critical,32.79587,-96.78661,32.79615,-96.7869
60,286419052914911034,ROAD_CLOSURE,critical,32.85119,-96.58666,32.85116,-96.58284
61,3450644804211418230,CONSTRUCTION,major,32.79385,-96.70278,32.79478,-96.69501
62,757638253330613179,ROAD_CLOSURE,critical,32.82435,-96.9195,32.82633,-96.91835
63,2447079137866720716,CONSTRUCTION,minor,32.89846,-96.71512,32.83895,-96.63328
64,3453981654554954811,ROAD_CLOSURE,critical,32.76025,-96.77038,32.75333,-96.76473
65,4481960160230587010,CONSTRUCTION,critical,32.74863,-96.81055,32.74855,-96.80922
66,3962432977683522219,ROAD_CLOSURE,critical,32.79918,-96.78293,32.79814,-96.78414
67,3431415993973123791,ROAD_CLOSURE,critical,32.91273,-96.8771,32.91369,-96.87733
68,2411261696065551595,CONSTRUCTION,minor,32.78498,-96.68402,32.81739,-96.68958
69,4238120253711897154,ROAD_CLOSURE,critical,32.75792,-96.8084,32.75876,-96.8084
70,1934071973132008264,CONSTRUCTION,minor,32.63704,-96.77669,32.6273,-96.77196
71,1545038007853173752,CONSTRUCTION,minor,32.65402,-96.87768,32.70777,-96.83008
72,235196634346610421,ROAD_CLOSURE,critical,32.75413,-96.76495,32.75509,-96.76377
73,3067691484422480402,CONSTRUCTION,critical,32.83812,-96.63286,32.9178,-96.74468
74,2770602953009650165,CONSTRUCTION,minor,32.75657,-96.81005,32.68995,-96.82316
75,1562995064090370133,ROAD_CLOSURE,critical,32.91489,-96.86737,32.91618,-96.86905
76,254814216656929060,CONSTRUCTION,minor,32.90882,-96.76904,32.89531,-96.76925
77,1896799193739644975,CONSTRUCTION,critical,33.00711,-96.68074,33.00725,-96.68074
78,1512352617684871220,CONSTRUCTION,minor,32.69131,-96.82307,32.75124,-96.80929
79,1870222443148117180,ROAD_CLOSURE,critical,32.6942,-96.84422,32.70572,-96.83145
80,3392523864907314933,CONGESTION,minor,32.77738,-96.62438,32.7725,-96.62363
81,129661586251466978,CONSTRUCTION,minor,32.83853,-96.63293,32.91759,-96.74436
82,42987029654916670,ROAD_CLOSURE,critical,32.85116,-96.58284,32.85119,-96.58666
83,2465812168340639461,CONSTRUCTION,critical,32.79712,-96.80834,32.798207,-96.809646
84,557410420241219473,CONSTRUCTION,minor,32.86413,-96.674324,32.86418,-96.67071
85,3090296723333419030,CONSTRUCTION,minor,32.75124,-96.80971,32.69135,-96.82327
86,1984889197101365983,CONSTRUCTION,critical,32.76427,-96.77604,32.76516,-96.77708
87,26617795922111231,CONSTRUCTION,critical,32.7907,-96.80656,32.790087,-96.805908
88,3648801781702638370,ROAD_CLOSURE,critical,32.74624,-96.75827,32.74963,-96.76116
