ID,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
68,4/24/2022 0:51,32.975,-96.716,802,scattered clouds,03n,72.75,74,10000,14.97,IGNORE
68,4/24/2022 0:54,32.975,-96.716,802,scattered clouds,03n,72.75,74,10000,14.97,IGNORE
892,4/24/2022 12:24,32.9232,-96.74,804,overcast clouds,04d,74.19,75,10000,12.66,IGNORE
891,4/24/2022 12:24,32.9232,-96.74,804,overcast clouds,04d,74.19,75,10000,12.66,IGNORE
890,4/24/2022 12:24,32.9232,-96.74,804,overcast clouds,04d,74.19,75,10000,12.66,IGNORE
889,4/24/2022 12:24,32.9232,-96.74,804,overcast clouds,04d,74.19,75,10000,12.66,IGNORE
888,4/24/2022 12:24,32.9251,-96.736,804,overcast clouds,04d,74.14,75,10000,12.66,IGNORE
887,4/24/2022 12:24,32.9251,-96.736,804,overcast clouds,04d,74.14,75,10000,12.66,IGNORE
886,4/24/2022 12:24,32.9251,-96.736,804,overcast clouds,04d,74.14,75,10000,12.66,IGNORE
789,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
790,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
791,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
792,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
861,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
793,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
862,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
863,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
864,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
747,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
748,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
794,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
795,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
874,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
796,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
797,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
865,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
866,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
885,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
686,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
798,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
799,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
685,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
684,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
683,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
682,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
867,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
825,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
800,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
801,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
802,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
803,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
804,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
805,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
873,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
872,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
884,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
879,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
878,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
844,4/24/2022 12:24,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
806,4/24/2022 12:24,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
877,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
876,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
845,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
846,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
858,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
706,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
705,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
427,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
428,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
704,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
703,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
679,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
814,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
697,4/24/2022 12:25,32.9318,-96.687,804,overcast clouds,04d,74.12,76,10000,12.66,IGNORE
680,4/24/2022 12:25,32.9255,-96.729,804,overcast clouds,04d,74.16,75,10000,12.66,IGNORE
698,4/24/2022 12:25,32.9318,-96.687,804,overcast clouds,04d,74.12,76,10000,12.66,IGNORE
518,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
707,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
517,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
516,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
515,4/24/2022 12:25,32.9276,-96.718,804,overcast clouds,04d,74.07,76,10000,12.66,IGNORE
