,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS,icon_data
0,0,0,0,04-24-2022 19:36:51,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
1,1,1,1,04-24-2022 19:36:52,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
2,2,2,2,04-24-2022 19:36:53,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
3,3,3,3,04-24-2022 19:36:55,32.9232,-96.74,201,thunderstorm with rain,11d,66.99,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
4,4,4,4,04-24-2022 19:36:56,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
5,5,5,5,04-24-2022 19:36:57,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
6,6,6,6,04-24-2022 19:36:59,32.9251,-96.736,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
7,7,7,7,04-24-2022 19:37:00,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
8,8,8,8,04-24-2022 19:37:01,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
9,9,9,9,04-24-2022 19:37:02,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
10,10,10,10,04-24-2022 19:37:04,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
11,11,11,11,04-24-2022 19:37:05,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
12,12,12,12,04-24-2022 19:37:06,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
13,13,13,13,04-24-2022 19:37:07,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
14,14,14,14,04-24-2022 19:37:09,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
15,15,15,15,04-24-2022 19:37:10,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
16,16,16,16,04-24-2022 19:37:11,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
17,17,17,17,04-24-2022 19:37:12,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
18,18,18,18,04-24-2022 19:37:14,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
19,19,19,19,04-24-2022 19:37:15,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
20,20,20,20,04-24-2022 19:37:16,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE,"{'url': 'http://openweathermap.org/img/wn/11d@2x.png', 'width': 100, 'height': 100, 'anchorY': 100}"
